Author Name,Class,identity_group,outer_fold
Ulrich Rueckert,0,0:Ulrich Rueckert,1
V,0,0:V,3
V. Varadarajan,0,0:V. Varadarajan,4
Velmer B. Headley,0,0:Velmer B. Headley,5
Veronica E. Arriola,0,0:Veronica E. Arriola,3
Veronica Maidel,0,0:Veronica Maidel,1
Vijayalakshmi Raghupathi,0,0:Vijayalakshmi Raghupathi,5
Vincent Gauthereau,0,0:Vincent Gauthereau,2
Vinton Cerf,0,0:Vinton Cerf,4
Vitaly Feldman,0,0:Vitaly Feldman,2
Vivek Gopalan,0,0:Vivek Gopalan,1
Vladimir I. Babitsky,0,0:Vladimir I. Babitsky,3
W. Coyne,0,0:W. Coyne,4
W. Z. Zhang,0,0:W. Z. Zhang,5
Wade Shen,0,0:Wade Shen,2
Waheed,0,0:Waheed,5
Wanda Dann,0,0:Wanda Dann,1
Wanjun Huang,0,0:Wanjun Huang,3
Warren P. Seering,0,0:Warren P. Seering,4
Wei Hua Zhang,0,0:Wei Hua Zhang,2
Wei Quan,0,0:Wei Quan,1
Wei-Chuan Lin,0,0:Wei-Chuan Lin,3
Wei-Shang Chu,0,0:Wei-Shang Chu,4
Wei-Tih Cheng,0,0:Wei-Tih Cheng,5
Weixin Ling,0,0:Weixin Ling,1
Weng Haitao,0,0:Weng Haitao,2
Win Aye,0,0:Win Aye,3
X. -S. Yang,0,0:X. -S. Yang,4
Xian Zheng,0,0:Xian Zheng,5
Xiang He,0,0:Xiang He,3
Xiao-Ling Wang,0,0:Xiao-Ling Wang,5
Xiao-ming Zhang,0,0:Xiao-ming Zhang,1
Xiaobo Shi,0,0:Xiaobo Shi,3
Xiaochen Wang,0,0:Xiaochen Wang,4
Xiaolong Wu,0,0:Xiaolong Wu,2
Xiaoman Liu,0,0:Xiaoman Liu,2
Xiaoqing Ye,0,0:Xiaoqing Ye,1
Xu Jing,0,0:Xu Jing,3
Xuan Li,0,0:Xuan Li,4
Xue-mei Yan,0,0:Xue-mei Yan,1
Xun Shi,0,0:Xun Shi,5
Y I Zhuravlev,0,0:Y I Zhuravlev,1
Y. Nishida,0,0:Y. Nishida,2
Y. Yemez,0,0:Y. Yemez,3
Yan Yao,0,0:Yan Yao,4
Yang Linyu,0,0:Yang Linyu,5
Yao-Ting Sung,0,0:Yao-Ting Sung,1
Yeung,0,0:Yeung,2
Yibo Xue,0,0:Yibo Xue,3
Yinchao Chen,0,0:Yinchao Chen,4
Ying Xia,0,0:Ying Xia,5
Ying Zhang,0,0:Ying Zhang,3
Yingli Sun,0,0:Yingli Sun,5
Yong Hoon Lee,0,0:Yong Hoon Lee,1
Yong Su,0,0:Yong Su,2
Yong Zhang,0,0:Yong Zhang,4
Yongcai Guo,0,0:Yongcai Guo,1
Yongdong Zhang,0,0:Yongdong Zhang,2
Yongkun Lu,0,0:Yongkun Lu,3
Yoo Jin Hong,0,0:Yoo Jin Hong,4
Young Park,0,0:Young Park,5
Young-Jin Jeon,0,0:Young-Jin Jeon,1
Yousry Taha,0,0:Yousry Taha,4
Yu Gui,0,0:Yu Gui,2
Yu Tingting,0,0:Yu Tingting,3
Yuan-liang Ma,0,0:Yuan-liang Ma,5
Yunlong Xu,0,0:Yunlong Xu,2
Yutaka Fukuda,0,0:Yutaka Fukuda,1
Zach Bush,0,0:Zach Bush,3
Zaixin Lu,0,0:Zaixin Lu,5
Zelalem Bachore,0,0:Zelalem Bachore,4
Zhang,0,0:Zhang,4
Zhang Heng,0,0:Zhang Heng,1
Zhang Zhuo,0,0:Zhang Zhuo,2
Zhen-hou Zhang,0,0:Zhen-hou Zhang,3
Zheng Jiang,0,0:Zheng Jiang,5
Zheng Zhao,0,0:Zheng Zhao,1
Zhenyun Zhang,0,0:Zhenyun Zhang,3
Zhifang Sui,0,0:Zhifang Sui,2
Zhifeng Liu,0,0:Zhifeng Liu,4
Zhike Mao,0,0:Zhike Mao,5
Zhiqiang Gao,0,0:Zhiqiang Gao,2
ke Bjrck,0,0:ke Bjrck,4
